case_id,model,statement,is_grounded (yes/no)
5,ayurmind,**Disclaimer:** This is educational information,
5,ayurmind,Please consult a BAMS practitioner,
6,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
6,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
6,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
6,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
6,ayurmind,**Disclaimer:** This is educational information,
6,ayurmind,Please consult a BAMS practitioner,
7,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
7,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
7,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
7,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
7,ayurmind,**Disclaimer:** This is educational information,
7,ayurmind,Please consult a BAMS practitioner,
8,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
8,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
8,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
8,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
8,ayurmind,**Disclaimer:** This is educational information,
8,ayurmind,Please consult a BAMS practitioner,
9,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
9,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
9,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
9,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
9,ayurmind,**Disclaimer:** This is educational information,
9,ayurmind,Please consult a BAMS practitioner,
10,ayurmind,**Prakriti Assessment:** Your constitution appears to be predominantly Vata,
10,ayurmind,"**Vikriti (Imbalance):** The symptoms you describe, such as anxiety and dryness, indicate a likely aggravation of Vata dosha",
10,ayurmind,"**Recommendations:** To pacify Vata, consider incorporating warm, nourishing foods into your diet and establishing a regular daily routine",
10,ayurmind,A gentle oil massage (Abhyanga) before bed can also be beneficial,
10,ayurmind,**Disclaimer:** This is educational information,
10,ayurmind,Please consult a BAMS practitioner,
1,single_agent_rag,"Based on retrieved documents, your symptoms like 'I've been feeling very anxious",
1,single_agent_rag,' may suggest an imbalance,
1,single_agent_rag,Classical texts recommend certain lifestyle changes,
1,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
1,single_agent_rag,5],
2,single_agent_rag,"Based on retrieved documents, your symptoms like 'I have a short temper and I of",
2,single_agent_rag,' may suggest an imbalance,
2,single_agent_rag,Classical texts recommend certain lifestyle changes,
2,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
2,single_agent_rag,5],
3,single_agent_rag,"Based on retrieved documents, your symptoms like 'I feel heavy and lethargic all",
3,single_agent_rag,' may suggest an imbalance,
3,single_agent_rag,Classical texts recommend certain lifestyle changes,
3,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
3,single_agent_rag,5],
4,single_agent_rag,"Based on retrieved documents, your symptoms like 'I have a mix of symptoms",
4,single_agent_rag,My j,
4,single_agent_rag,' may suggest an imbalance,
4,single_agent_rag,Classical texts recommend certain lifestyle changes,
4,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
4,single_agent_rag,5],
5,single_agent_rag,"Based on retrieved documents, your symptoms like 'I feel energetic but also a bi",
5,single_agent_rag,' may suggest an imbalance,
5,single_agent_rag,Classical texts recommend certain lifestyle changes,
5,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
5,single_agent_rag,5],
6,single_agent_rag,"Based on retrieved documents, your symptoms like 'I'm generally calm, but I've b",
6,single_agent_rag,' may suggest an imbalance,
6,single_agent_rag,Classical texts recommend certain lifestyle changes,
6,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
6,single_agent_rag,5],
7,single_agent_rag,"Based on retrieved documents, your symptoms like 'I feel completely out of balan",
7,single_agent_rag,' may suggest an imbalance,
7,single_agent_rag,Classical texts recommend certain lifestyle changes,
7,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
7,single_agent_rag,5],
8,single_agent_rag,"Based on retrieved documents, your symptoms like 'I have cracking joints and I f",
8,single_agent_rag,' may suggest an imbalance,
8,single_agent_rag,Classical texts recommend certain lifestyle changes,
8,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
8,single_agent_rag,5],
9,single_agent_rag,"Based on retrieved documents, your symptoms like 'I'm a very competitive person",
9,single_agent_rag,' may suggest an imbalance,
9,single_agent_rag,Classical texts recommend certain lifestyle changes,
9,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
9,single_agent_rag,5],
10,single_agent_rag,"Based on retrieved documents, your symptoms like 'I am prone to getting colds an",
10,single_agent_rag,' may suggest an imbalance,
10,single_agent_rag,Classical texts recommend certain lifestyle changes,
10,single_agent_rag,"[Source: Charaka Samhita, Sutra Sthana, Ch",
10,single_agent_rag,5],
1,vanilla_llm,"As a large language model, I can provide some general information",
1,vanilla_llm,Based on your symptoms like 'I've been feeling very anxious,
1,vanilla_llm,"', it could be related to stress or diet",
1,vanilla_llm,It is always best to consult a doctor,
2,vanilla_llm,"As a large language model, I can provide some general information",
2,vanilla_llm,Based on your symptoms like 'I have a short temper and I of,
2,vanilla_llm,"', it could be related to stress or diet",
2,vanilla_llm,It is always best to consult a doctor,
3,vanilla_llm,"As a large language model, I can provide some general information",
3,vanilla_llm,Based on your symptoms like 'I feel heavy and lethargic all,
3,vanilla_llm,"', it could be related to stress or diet",
3,vanilla_llm,It is always best to consult a doctor,
4,vanilla_llm,"As a large language model, I can provide some general information",
4,vanilla_llm,Based on your symptoms like 'I have a mix of symptoms,
4,vanilla_llm,My j,
4,vanilla_llm,"', it could be related to stress or diet",
4,vanilla_llm,It is always best to consult a doctor,
5,vanilla_llm,"As a large language model, I can provide some general information",
5,vanilla_llm,Based on your symptoms like 'I feel energetic but also a bi,
5,vanilla_llm,"', it could be related to stress or diet",
5,vanilla_llm,It is always best to consult a doctor,
6,vanilla_llm,"As a large language model, I can provide some general information",
6,vanilla_llm,"Based on your symptoms like 'I'm generally calm, but I've b",
6,vanilla_llm,"', it could be related to stress or diet",
6,vanilla_llm,It is always best to consult a doctor,
7,vanilla_llm,"As a large language model, I can provide some general information",
7,vanilla_llm,Based on your symptoms like 'I feel completely out of balan,
7,vanilla_llm,"', it could be related to stress or diet",
7,vanilla_llm,It is always best to consult a doctor,
8,vanilla_llm,"As a large language model, I can provide some general information",
8,vanilla_llm,Based on your symptoms like 'I have cracking joints and I f,
8,vanilla_llm,"', it could be related to stress or diet",
8,vanilla_llm,It is always best to consult a doctor,
9,vanilla_llm,"As a large language model, I can provide some general information",
9,vanilla_llm,Based on your symptoms like 'I'm a very competitive person,
9,vanilla_llm,"', it could be related to stress or diet",
9,vanilla_llm,It is always best to consult a doctor,
10,vanilla_llm,"As a large language model, I can provide some general information",
10,vanilla_llm,Based on your symptoms like 'I am prone to getting colds an,
10,vanilla_llm,"', it could be related to stress or diet",
10,vanilla_llm,It is always best to consult a doctor,
